HUC,Land Use,TSS Attenuated Load,TP Attenuated Load,NO3 Attenuated Load,NH3 Attenuated Load,PB Attenuated Load,CU Attenuated Load,ZN Attenuated Load,BOD Attenuated Load,E.COLI Attenuated Load,GLYPHOSATE Attenuated Load,"2,4-D Attenuated Load",CARBARYL Attenuated Load,OIL&GREASE Attenuated Load
101,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
101,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
102,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
102,OPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
102,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
103,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
103,OPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
103,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
104,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
104,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
105,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
105,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
106,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
106,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
107,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
107,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
201,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
201,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
202,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
202,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
203,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
203,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
204,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
204,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
205,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
205,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
301,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
301,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
302,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
302,OPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
302,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
303,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
303,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
304,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
304,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
305,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
305,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
306,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
306,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
401,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
401,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
402,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
402,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
403,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
403,OPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
403,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
404,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
404,OPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
404,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
405,AGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
405,OPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
405,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
406,AGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
406,OPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
406,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
501,AGR,,,,,,,,,,,,,
501,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
501,OPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
501,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
502,AGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
502,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
502,OPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
502,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
503,AGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503,COM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
503,OPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
503,RES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
601,AGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
601,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
601,OPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
601,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
602,AGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
602,OPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
602,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
603,AGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
603,COM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
603,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
603,OPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
603,RES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
603,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
604,AGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604,COM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
604,OPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
604,RES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
605,AGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605,COM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
605,OPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
605,RES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
606,AGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606,COM,41.202965994915026,20.15275392287325,32.05144226544598,44.22070144231676,43.95914500026692,29.963372718389813,40.3503928412312,38.0065564675836,16.312499999999986,14.40000000000001,14.40000000000001,14.40000000000001,25.918727470705544
606,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
606,OPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
606,RES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
607,AGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
607,COM,41.20296599491501,20.152753922873256,32.05144226544596,44.22070144231676,43.95914500026693,29.963372718389795,40.350392841231205,38.006556467583586,16.312499999999996,14.399999999999999,14.399999999999999,14.399999999999999,25.918727470705516
607,FOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
607,OPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
607,PUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
607,RES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
607,TRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
