HUC,TSS Attenuated Load,TP Attenuated Load,NO3 Attenuated Load,NH3 Attenuated Load,PB Attenuated Load,CU Attenuated Load,ZN Attenuated Load,BOD Attenuated Load,E.COLI Attenuated Load,GLYPHOSATE Attenuated Load,"2,4-D Attenuated Load",CARBARYL Attenuated Load,OIL&GREASE Attenuated Load
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606,0.10358592793275649,0.19245289157284823,0.02259205303502208,0.6526224082544443,0.26884186892446477,0.18362315539540594,0.2624037650486878,0.16883064275173304,0.07754702175841885,0.0063532013929841384,0.006379521143234689,0.02547995176115323,0.10761507435082229
607,5.8692015975789795,5.873257259370211,2.531523378503487,13.21893343865875,13.11825512998899,8.782373803093906,11.854902809150476,9.378641650682713,3.6873730479014446,0.7896204714422296,0.8232328568413413,2.270765338141183,6.210369456914567
