HUC,Land Use,Area (ac),Precip (in/yr),RC,Runoff
101,FOR,10195.26943,73,0.028,75646044.49515961
101,TRA,15.72006,73,0.0315,131218.24903110001
102,FOR,9629.437767,73,0.028,71447731.98856525
102,OPS,859.572463,73,0.038,8655568.064874059
102,TRA,66.802055,73,0.018,318633.77798009996
103,FOR,18018.66943,73,0.028,133693481.94315962
103,OPS,146.18564,73,0.04,1549509.3097440004
103,TRA,101.926739,73,0.027,729258.29732547
104,FOR,17162.61887,73,0.026,118245981.73339377
104,TRA,0.368773,73,0.016,1563.53851632
105,FOR,10354.58328,73,0.026,71340386.6075472
105,TRA,33.601803,73,0.0245,218151.47353576502
106,FOR,14484.08211,73,0.027,103629696.79488029
106,TRA,46.427955,73,0.027,332179.48247715
107,FOR,16211.86921,73,0.029,124583513.43677911
107,TRA,110.607372,73,0.027,791365.8826695599
201,FOR,14799.61467,73,0.025,98043747.28508252
201,TRA,71.45191,73,0.0265,501752.1032188499
202,FOR,25863.46994,73,0.016,109656974.39040959
202,TRA,79.59587,73,0.02,421842.19182600005
203,FOR,19620.65482,73,0.026,135181210.3395468
203,TRA,104.685486,73,0.028,776736.9941839201
204,FOR,17288.74602,73,0.023,105370930.58031538
204,TRA,80.016282,73,0.0235,498282.59232873004
205,FOR,22803.99651,73,0.028,169199268.98517722
205,TRA,152.094293,73,0.029,1168800.53436003
301,FOR,13532.31986,73,0.023,82476377.1131322
301,TRA,58.837568,73,0.0205,319623.02645855997
302,FOR,20812.84152,73,0.022,121334287.2364656
302,OPS,14.046563,73,0.04,148887.9491748
302,TRA,137.086036,73,0.0205,744691.78793262
303,FOR,10064.21424,73,0.023,61339071.0235248
303,TRA,73.057677,73,0.0205,396870.853478715
304,FOR,12577.94507,73,0.025,83325741.60248251
304,TRA,80.983879,73,0.025,536497.9524052502
305,FOR,18745.16442,73,0.026,129149309.1110508
305,TRA,144.512012,73,0.023,880767.4753772401
306,FOR,14033.21878,73,0.028,104122554.04634158
306,TRA,134.120049,73,0.044333333,1575627.570599786
401,FOR,31311.81731,73,0.029,240622235.6003301
401,TRA,227.677783,73,0.050333333,3036727.544320112
402,FOR,27249.77465,73,0.027,194964780.1815945
402,TRA,43.915807,73,0.1075,1251004.342419975
403,FOR,29399.86676,73,0.028,218138779.3965072
403,OPS,337.014669,73,0.029,2589859.9970109905
403,TRA,52.745987,73,0.0275,384371.8751160749
404,FOR,15452.77599,73,0.033,135129426.61647332
404,OPS,2071.36658,73,0.019,10428937.170649799
404,TRA,124.408268,73,0.026,857140.6203703199
405,AGR,0.765319,73,0.034,6895.26398154
405,FOR,19896.29025,73,0.036,189803446.32050997
405,OPS,626.766634,73,0.138,22919990.86742508
405,TRA,109.665555,73,0.09275,2695340.5451539876
406,AGR,12.962791,73,0.118,405331.17847661994
406,FOR,10107.13101,73,0.053,141949298.25601467
406,OPS,1494.611176,73,0.138,54655868.14289712
406,TRA,102.252188,73,0.1015,2750224.44075918
501,AGR,0.445003,73,0.0,0.0
501,FOR,16643.38566,73,0.029,127899592.21525858
