BMP Name,TSS,TP,NO3,NH3,CU,PB,ZN,BOD,GLYPHOSATE,"2,4-D",CARBARYL,OIL&GREASE,E.COLI
Nutrient Management Plan - Agriculture,,PR,PR,PR,,,,,,,,,
Nutrient Management Plan - Urban,,PR,PR,PR,,,,,,,,,
Integrated Pest Management,,,,,,,,,PR,PR,PR,,
Incentive Program,,PR,PR,PR,,,,PR,,,,,PR
Conservation Buffer,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,PR,PR,PR,EQ,PR
Conservation Cover,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,PR,PR,PR,EQ,PR
Grass Border,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,PR,PR,PR,EQ,PR
Buffer/Filter Strip,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,PR,PR,PR,EQ,PR
Riparian Buffer,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,PR,PR,PR,EQ,PR
Critical Area Planting,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,PR,PR,PR,EQ,PR
Streamside Management Area,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR
Water Quality Basins,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,PR,PR,PR,EQ,PR
Bioretention/Biofilters,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,PR,PR,PR,EQ,PR
Media Filter,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,PR,PR,PR,EQ,PR
Impervious Area Reduction,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,PR,PR,PR,EQ,PR
Organic Farming,,PR,PR,PR,,,,PR,PR,PR,PR,,
Drinking Water Protection Zones,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR
Emergency Response Plan,,,,,,,,,,,,PR,
No-Till or Reduced Till,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,PR,PR,PR,EQ,PR
Cover Crops,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,PR,PR,PR,EQ,PR
