Pollutant,AGR,COM,FOR,OPS,PUB,RES,TRA
TSS,66,81.69731943,66,52.9,79.23951613,135.2638889,150.9230769
TP,0.082,0.450892021,0.016,0.175,0.273819672,0.408287671,0.347291667
NO3,2.445,0.680896296,0.023,0.4,0.503272727,0.6765,1.53
NH3,0.114,1.560826705,0.002,0.7375,0.981019048,1.471085714,1.714583333
PB,0.0134,0.040423498,0.0134,0.002622222,0.024160556,0.021325758,0.055407692
CU,0.0085,0.025946643,0.0085,0.0042,0.012776957,0.015033438,0.032
ZN,0.05,0.165352679,0.05,0.024888889,0.075277451,0.10092973,0.2114
BOD,6.47,13.55319444,4.667,4.666666667,8.277027027,9.761904762,14.86363636
E.COLI,1340,3247,1000,1000,1679,2926,6002
GLYPHOSATE,0.000412,0.00007,0,0,0.00007,0.0001,0
"2,4-D",0.000412,0.00007,0,0,0.00007,0.00007,0
CARBARYL,0.0001,0.00007,0,0,0.00007,0.00007,0
OIL&GREASE,2.886,5.738119658,2.886,0.833333333,4.938297872,3.67755102,9.663636364
