Subcatchment,AGR,COM,FOR,OPS,PUB,RES,TRA
101,0,0,10195.26943,0,0,0,15.72006
102,0,0,9629.437767,859.572463,0,0,66.802055
103,0,0,18018.66943,146.18564,0,0,101.926739
104,0,0,17162.61887,0,0,0,0.368773
105,0,0,10354.58328,0,0,0,33.601803
106,0,0,14484.08211,0,0,0,46.427955
107,0,0,16211.86921,0,0,0,110.607372
201,0,0,14799.61467,0,0,0,71.45191
202,0,0,25863.46994,0,0,0,79.59587
203,0,0,19620.65482,0,0,0,104.685486
204,0,0,17288.74602,0,0,0,80.016282
205,0,0,22803.99651,0,0,0,152.094293
301,0,0,13532.31986,0,0,0,58.837568
302,0,0,20812.84152,14.046563,0,0,137.086036
303,0,0,10064.21424,0,0,0,73.057677
304,0,0,12577.94507,0,0,0,80.983879
305,0,0,18745.16442,0,0,0,144.512012
306,0,0,14033.21878,0,0,0,134.120049
401,0,0,31311.81731,0,0,0,227.677783
402,0,0,27249.77465,0,0,0,43.915807
403,0,0,29399.86676,337.014669,0,0,52.745987
404,0,0,15452.77599,2071.36658,0,0,124.408268
405,0.765319,0,19896.29025,626.766634,0,0,109.665555
406,12.962791,0,10107.13101,1494.611176,0,0,102.252188
501,0.445003,0,16643.38566,661.100673,0,0,34.017728
502,2914.713382,0,12919.01657,1866.600091,0,0,141.866297
503,7567.569531,114.693558,12311.38244,1684.764289,0,403.344108,272.217943
601,26.000006,0,9631.135087,2524.958235,0,0,56.406517
602,10577.03105,0,9080.342428,1907.594821,0,0,228.335711
603,6757.372863,209.080501,3599.928475,1389.145411,0,395.095904,283.106385
604,10340.20855,396.266043,5217.769993,606.306349,0,915.563749,371.407869
605,11239.92593,185.636013,1202.199739,301.064832,0,485.939769,311.510831
606,9953.616438,11.743991,1573.951719,328.705807,0,415.533052,206.048123
607,14380.03287,2046.264847,3521.883895,1258.289702,80.692542,5108.831361,954.260538
